#           x            Ma
     0.086207      0.241075
     0.143678      0.241782
      0.20115      0.242488
     0.258621      0.243171
     0.316092      0.243886
     0.373564      0.244669
     0.431035      0.245528
     0.488507      0.246469
     0.545978      0.247495
     0.603449       0.24861
     0.660921      0.249821
     0.718392      0.251132
     0.775863      0.252546
     0.833334      0.254069
     0.890806      0.255702
     0.948277      0.257449
      1.00575      0.259314
      1.06322      0.261299
      1.12069      0.263408
      1.17816      0.265644
      1.23563      0.268009
       1.2931      0.270508
      1.35058      0.273142
      1.40805      0.275918
      1.46552      0.278836
      1.52299      0.281903
      1.58046       0.28512
      1.63793      0.288494
       1.6954      0.292027
      1.75287      0.295725
      1.81035      0.299593
      1.86782      0.303634
      1.92529      0.307856
      1.98276      0.312262
      2.04023      0.316858
       2.0977       0.32165
      2.15517      0.326645
      2.21264      0.331848
      2.27011      0.337267
      2.32758      0.342906
      2.38506      0.348774
      2.44253      0.354877
          2.5      0.361224
      2.55747       0.36782
      2.61494      0.374674
      2.67241      0.381794
      2.72988      0.389188
      2.78735      0.396863
      2.84482      0.404829
      2.90229      0.413094
      2.95977      0.421666
      3.01724      0.430554
      3.07471      0.439767
      3.13218      0.449313
      3.18965      0.459202
      3.24712      0.469441
      3.30459       0.48004
      3.36206      0.491005
      3.41953      0.502346
        3.477       0.51407
      3.53447      0.526186
      3.59195        0.5387
      3.64942      0.551619
      3.70689      0.564948
      3.76436      0.578694
      3.82183      0.592859
       3.8793      0.607448
      3.93677      0.622462
      3.99424      0.637902
      4.05171      0.653768
      4.10918      0.670057
      4.16666      0.686765
      4.22413      0.703885
       4.2816      0.721408
      4.33907      0.739324
      4.39654      0.757615
      4.45401      0.776261
      4.51148      0.795237
      4.56895      0.814511
      4.62643      0.834043
       4.6839      0.853782
      4.74137      0.873666
      4.79884      0.893623
      4.85631       0.91356
      4.91378      0.933373
      4.97125      0.952943
      5.02873      0.972145
       5.0862      0.990861
      5.14367       1.00899
      5.20114       1.02647
      5.25861       1.04328
      5.31608       1.05946
      5.37355        1.0751
      5.43103       1.09031
       5.4885       1.10523
      5.54597          1.12
      5.60344       1.13471
      5.66091       1.14945
      5.71838       1.16424
      5.77585       1.17909
      5.83333       1.19398
       5.8908       1.20888
      5.94827       1.22376
      6.00574       1.23859
      6.06321       1.25335
      6.12068       1.26803
      6.17815       1.28262
      6.23563       1.29713
       6.2931       1.31154
      6.35057       1.32586
      6.40804       1.34009
      6.46551       1.35423
      6.52298       1.36827
      6.58045       1.38222
      6.63793       1.39605
       6.6954       1.40978
      6.75287       1.42339
      6.81034       1.43688
      6.86781       1.45023
      6.92528       1.46345
      6.98275       1.47652
      7.04022       1.48944
       7.0977        1.5022
      7.15517        1.5148
      7.21264       1.52722
      7.27011       1.53946
      7.32758       1.55152
      7.38505       1.56339
      7.44252       1.57507
          7.5       1.58655
      7.55747       1.59782
      7.61494       1.60889
      7.67241       1.61975
      7.72988        1.6304
      7.78735       1.64084
      7.84482       1.65105
      7.90229       1.66105
      7.95977       1.67081
      8.01724       1.68035
      8.07471       1.68965
      8.13218       1.69872
      8.18965       1.70754
      8.24712       1.71612
      8.30459       1.72445
      8.36207       1.73253
      8.41954       1.74035
      8.47701        1.7479
      8.53448        1.7552
      8.59195       1.76222
      8.64942       1.76898
      8.70689       1.77546
      8.76437       1.78166
      8.82184       1.78758
      8.87931       1.79322
      8.93678       1.79857
      8.99425       1.80364
      9.05172       1.80842
      9.10919       1.81292
      9.16666       1.81712
      9.22414       1.82104
      9.28161       1.82466
      9.33908       1.82799
      9.39655       1.83102
      9.45402       1.83376
      9.51149        1.8362
      9.56896       1.83835
      9.62644        1.8402
      9.68391       1.84175
      9.74138         1.843
      9.79885       1.84394
      9.85632       1.84459
      9.91379       1.84496
